State_Code,County_Code,County_Name
47,1,Anderson County
47,3,Bedford County
47,5,Benton County
47,7,Bledsoe County
47,9,Blount County
47,11,Bradley County
47,13,Campbell County
47,15,Cannon County
47,17,Carroll County
47,19,Carter County
47,21,Cheatham County
47,23,Chester County
47,25,Claiborne County
47,27,Clay County
47,29,Cocke County
47,31,Coffee County
47,33,Crockett County
47,35,Cumberland County
47,37,Davidson County
47,39,Decatur County
47,41,DeKalb County
47,43,Dickson County
47,45,Dyer County
47,47,Fayette County
47,49,Fentress County
47,51,Franklin County
47,53,Gibson County
47,55,Giles County
47,57,Grainger County
47,59,Greene County
47,61,Grundy County
47,63,Hamblen County
47,65,Hamilton County
47,67,Hancock County
47,69,Hardeman County
47,71,Hardin County
47,73,Hawkins County
47,75,Haywood County
47,77,Henderson County
47,79,Henry County
47,81,Hickman County
47,83,Houston County
47,85,Humphreys County
47,87,Jackson County
47,89,Jefferson County
47,91,Johnson County
47,93,Knox County
47,95,Lake County
47,97,Lauderdale County
47,99,Lawrence County
47,101,Lewis County
47,103,Lincoln County
47,105,Loudon County
47,107,McMinn County
47,109,McNairy County
47,111,Macon County
47,113,Madison County
47,115,Marion County
47,117,Marshall County
47,119,Maury County
47,121,Meigs County
47,123,Monroe County
47,125,Montgomery County
47,127,Moore County
47,129,Morgan County
47,131,Obion County
47,133,Overton County
47,135,Perry County
47,137,Pickett County
47,139,Polk County
47,141,Putnam County
47,143,Rhea County
47,145,Roane County
47,147,Robertson County
47,149,Rutherford County
47,151,Scott County
47,153,Sequatchie County
47,155,Sevier County
47,157,Shelby County
47,159,Smith County
47,161,Stewart County
47,163,Sullivan County
47,165,Sumner County
47,167,Tipton County
47,169,Trousdale County
47,171,Unicoi County
47,173,Union County
47,175,Van Buren County
47,177,Warren County
47,179,Washington County
47,181,Wayne County
47,183,Weakley County
47,185,White County
47,187,Williamson County
47,189,Wilson County
